Screen Name,Text,Language,Tweet Type
BobMcCu67970701,RT @funisher23 : @Motomom128302 @krisster8 @JustinTrudeau Hey trudeau it’s time for you to RESIGN !!!!!,en,Retweet
psychrn1111,"RT @JimboStanford : Poilievre's efforts to blame deficits, 'ATMs' &amp; Justin Trudeau personally for inflation didn't work. So now the right blames the carbon tax, hoping to divert Canadians' anger in anti-govt directions. For @CDN_Dimension, I show why this is just as false: https://t.co/lXexhzuJRD /2",en,Retweet
JAndrewKent,"RT @TheChiefNerd : One week after saying he never forced anyone to get vaccinated, Trudeau now supports vaccine mandates again…

https://t.co/rTUKfvS99p",en,Retweet
BugJudy,"RT @HeatherMoAndCo : Anyone connected to #JCCF should be investigated. While #Conservative owned #cdnmedia chases shadows &amp;  tries to manufacture another faux scandal to smear Trudeau, right wing dark money influence peddling, runs rampant. #cdnpoli https://t.co/fwsJwhk2B4",en,Retweet
lemaringrondino,"@Lommaax @evad_16 C'est rare que trudeau Landry ya des véritables échanges ... Ça ressemble à Landry qui chiale sur la politique , trudeau qui essaie apporter des nuances avec son expérience à l'interne de la politique et Landry qui bougone",fr,Reply
Spangy71,"RT @nspector4 : Basically, it appears that, shortly after Trudeau threw CSIS under the bus, its Director stood up, brushed off the dust and let Jody Thomas know her boss was full of shit  #cdnpoli https://t.co/US9nlpipJ2",en,Retweet
Worldloveunite,"RT @KatrinaPanova : CSIS REPORT:  if Canadians question government, they are ideologically motivated violent extremists. 

DETAILS: https://t.co/JLkNJTauun https://t.co/rUISriZZT9",en,Retweet
MacDonaldDean1,RT @mya11281477 : Trudeau and his ministers right now are more scared of what the Chinese will do to them if they kick the Chinese diplomat out of Canada. Trudeau could care less about MP Michael Chong his family or Canadians.  By Allowing this Chinese diplomat to be still in our country shows… https://t.co/CSMAQN4B7G,en,Retweet
NandaBaptiste,"RT @DanVitorPH : Canadá 🇨🇦

Uma semana depois de dizer que ""nunca forçou ninguém a ser vacinado"", Trudeau agora apoia os mandatos de vacinação novamente… 🤡 https://t.co/9lcDhg56Le",pt,Retweet
JLionlight,"@MichaelChongMP That diplomat that dared attack a Canadian MP from an adversary nation China/CCP, should have been fired back to China the minute, the very second it happened!!

Trudeau is a traitor, we don't need Chinas slave labour! We have  allies that do not threaten our representatives!!",en,Reply
Kathy_Edm,"RT @WesternStd : BREAKING | Danielle Smith declares sovereignty over Alberta wildfires 

""Justin Trudeau has no right interfering in our natural disasters."" #ableg https://t.co/Rc4CWxoaZ3",en,Retweet
Stephpearson33,"RT @lucquebec : Voilà c'est dit dans un média mainstream.

Si vous croyez à la pandémie, au vaccin et à la crise climatique, vous avez été brainwashé.
 https://t.co/vI2YeMuN0H",fr,Retweet
