Word,Polarity
rare,0.3
very,0.2
prominent,0.5
real,0.2
great,0.8
implicated,-0.4
silly,-0.5
top,0.5
clear,0.10000000000000002
sure,0.5
broken,-0.4
free,0.4
ill,-0.5
bad,-0.6999999999999998
proudly,0.8
fuck,-0.4
down,-0.15555555555555559
true,0.35
mean,-0.3125
disgusting,-1.0
little,-0.1875
crying,-0.2
hard,-0.2916666666666667
allegedly,-0.1
funny,0.25
really,0.2
ethical,0.2
complete,0.1
old,0.1
new,0.13636363636363635
worse,-0.4
arrest,-0.05
corrupt,-0.5
crap,-0.8
better,0.5
winning,0.5
ok,0.5
sorry,-0.5
sucks,-0.3
negative,-0.3
sound,0.4
much,0.2
shit,-0.2
mad,-0.625
more,0.5
busy,0.1
seriously,-0.3333333333333333
fucking,-0.6
remarkable,0.75
loyal,0.3333333333333333
trouble,-0.2
aged,-0.1
crushed,-0.1
love,0.5
hate,-0.8
perfect,1.0
nearly,0.1
own,0.6
fine,0.4166666666666667
usual,-0.25
fake,-0.5
least,-0.3
best,1.0
young,0.1
many,0.5
expected,-0.1
full,0.35
capable,0.2
effectively,0.6
fortunately,0.4
destroy,-0.2
destroying,-0.2
guilty,-0.5
stupid,-0.7999999999999999
latest,0.5
lol,0.8
pleased,0.5
right,0.2857142857142857
loving,0.6
sexy,0.5
worthy,0.3333333333333333
far,0.1
impossible,-0.6666666666666666
good,0.7
super,0.3333333333333333
first,0.25
clean,0.3666666666666667
positive,0.22727272727272727
exactly,0.25
hated,-0.9
criminal,-0.4
wrong,-0.5
witty,0.5
mature,0.1
important,0.4
fly,0.8
military,-0.1
sec,-0.1
normal,0.15
forced,-0.30000000000000004
